Categoria,Nome Elemento,ID Elemento,Livello Base,Livello Superiore,Offset Base,Offset Superiore,Verifica,Stato
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108173,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108175,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108177,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108179,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108183,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108185,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108187,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108189,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108191,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108193,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108195,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108197,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108201,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108203,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108205,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108209,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,2108253,AR_LIV_PE_P00_+0.00m,-,-,3.46,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,2108254,AR_LIV_PE_P00_+0.00m,-,-,3.46,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,2108255,AR_LIV_PE_P00_+0.00m,-,-,3.46,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,2108256,AR_LIV_PE_P00_+0.00m,-,-,3.46,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,2108259,AR_LIV_PE_P00_+0.00m,-,-,3.46,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,2108260,AR_LIV_PE_P00_+0.00m,-,-,3.46,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,2108261,AR_LIV_PE_P00_+0.00m,-,-,3.46,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,2108262,AR_LIV_PE_P00_+0.00m,-,-,3.46,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,2108263,AR_LIV_PE_P00_+0.00m,-,-,3.46,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,2108264,AR_LIV_PE_P00_+0.00m,-,-,3.46,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_Connettore,2108268,AR_LIV_PE_P00_+0.00m,-,-,4.0599999999999996,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_Connettore,2108272,AR_LIV_PE_P00_+0.00m,-,-,4.0599999999999996,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_Connettore,2108276,AR_LIV_PE_P00_+0.00m,-,-,4.0599999999999996,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,2108336,AR_LIV_PE_P00_+0.00m,-,-,3.46,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,2108337,AR_LIV_PE_P00_+0.00m,-,-,3.46,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108366,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108368,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108372,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108374,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108376,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108378,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108380,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108382,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108386,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108388,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108390,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108394,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108396,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108398,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108402,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108404,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108406,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108412,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108414,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108416,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108420,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108422,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108424,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2108428,AR_LIV_PE_P00_+0.00m,-,-,4.0499999999999998,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_Connettore,2109109,AR_LIV_PE_P00_+0.00m,-,-,3.6299999999999999,Oggetto conforme.,1
Raccordi condotto,IM_DIS_ACC_Raccordo condotto transizione rettangolare,2109149,AR_LIV_PE_P00_+0.00m,-,-,3.6299999999999999,Oggetto conforme.,1
Raccordi condotto,IM_COL_CIR_Lzi_Raccordo,2109186,AR_LIV_PE_P00_+0.00m,-,-,4.1399999999999997,Oggetto conforme.,1
Raccordi condotto,IM_DIS_ACC_Raccordo condotto transizione rettangolare,2109232,AR_LIV_PE_P00_+0.00m,-,-,3.6299999999999999,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_Connettore,2109234,AR_LIV_PE_P00_+0.00m,-,-,3.6299999999999999,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_GomitoL,2109532,AR_LIV_PE_P00_+0.00m,-,-,3.6099999999999999,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_Connettore,2109535,AR_LIV_PE_P00_+0.00m,-,-,3.9900000000000002,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_GomitoL,2109667,AR_LIV_PE_P00_+0.00m,-,-,3.71,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_Connettore,2110258,AR_LIV_PE_P00_+0.00m,-,-,4.0599999999999996,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_Connettore,2110260,AR_LIV_PE_P00_+0.00m,-,-,4.0599999999999996,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_Connettore,2110262,AR_LIV_PE_P00_+0.00m,-,-,4.0599999999999996,Oggetto conforme.,1
