Categoria,Id Elemento,Livello Base,Livello Superiore,Offset,Verifica,Stato
Muri,728455,ST_LIV_PE_P01_+5.08m,Fino al livello: AR_LIV_PE_P02_+10.40m,-2.1000000000000001,Elemento vincolato tra livelli di discipline diverse.,0
Muri,728503,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_PC1_+12.50m,-4.2000000000000002,Elemento non vincolato correttamente tra livelli.,0
Muri,728784,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_PC1_+12.50m,-0.81000000000000005,Elemento non vincolato correttamente tra livelli.,0
Muri,741894,AR_LIV_PE_P01_+5.20m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,742771,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_PC1_+12.50m,-4.2000000000000002,Elemento non vincolato correttamente tra livelli.,0
Muri,743469,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_PC1_+12.50m,-0.96899999999999997,Elemento non vincolato correttamente tra livelli.,0
Muri,743550,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_PC1_+12.50m,-0.96899999999999997,Elemento non vincolato correttamente tra livelli.,0
Muri,744019,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_PC1_+12.50m,-0.81000000000000005,Elemento non vincolato correttamente tra livelli.,0
Muri,744155,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_PC1_+12.50m,-4.2000000000000002,Elemento non vincolato correttamente tra livelli.,0
Muri,744495,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_P02_+10.40m,-2.5,Elemento vincolato correttamente tra livelli.,1
Muri,744532,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_P02_+10.40m,-2.5,Elemento vincolato correttamente tra livelli.,1
Muri,744554,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_P02_+10.40m,-2.5,Elemento vincolato correttamente tra livelli.,1
Muri,744580,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_P02_+10.40m,-2.5,Elemento vincolato correttamente tra livelli.,1
Muri,744909,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_P02_+10.40m,-2.5,Elemento vincolato correttamente tra livelli.,1
Muri,744910,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_P02_+10.40m,-2.5,Elemento vincolato correttamente tra livelli.,1
Muri,744911,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_P02_+10.40m,-2.5,Elemento vincolato correttamente tra livelli.,1
Muri,744912,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_P02_+10.40m,-2.5,Elemento vincolato correttamente tra livelli.,1
Muri,744945,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_P02_+10.40m,-2.5,Elemento vincolato correttamente tra livelli.,1
Muri,744946,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_P02_+10.40m,-2.5,Elemento vincolato correttamente tra livelli.,1
Muri,744947,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_P02_+10.40m,-2.5,Elemento vincolato correttamente tra livelli.,1
Muri,744948,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_P02_+10.40m,-2.5,Elemento vincolato correttamente tra livelli.,1
