Quantità,Nome della Famiglia e del Tipo,Valore Parametri,IFC Element,ID,Verifica,Stato
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880830,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880831,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880858,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880859,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880860,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880861,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880862,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880863,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880992,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880993,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880994,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880995,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880996,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880997,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880998,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880999,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,881000,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,881001,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,881002,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,881003,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,881004,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,881005,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,881006,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,881007,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,881008,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,881009,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,881010,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,881011,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,881012,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,881013,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,881014,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,881015,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
