GUID,ID,Tipo,Livello,Famiglia,Stato
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b865c,755292,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b865f,755295,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8662,755298,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8665,755301,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8668,755304,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b866b,755307,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b866e,755310,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8671,755313,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8674,755316,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8677,755319,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
