Quantità,Nome della Famiglia e del Tipo,Valore Parametri,IFC Element,ID,Verifica,Stato
2,AR_ARR_ARR_BoxWc_Chiuso:AR_ARR_ARR_BoxWC_chiuso,J.002,IfcFurniture,,Corretta,1
2,AR_ARR_ARR_Divisoriobox_Chiuso:AR_ARR_ARR_DivisorioBox_Chiuso,J.002,IfcFurniture,,Corretta,1
4,AR_ARR_ARR_DivisorioOrinatoio:AR_ARR_ARR_DivisorioOrinatoio,J.002,IfcFurniture,,Corretta,1
11,AR_ARR_ARR_DispenserSapone:AR_ARR_ARR_DispenserSapone,J.002,IfcFurniture,,Corretta,1
11,AR_ARR_ARR_AsciugamaniElettrico:AR_ARR_ARR_AsciugamaniElettrico,J.002,IfcFurniture,,Corretta,1
162,AR_ ARR_NAS_NastroTenditore00:AR_ARR_NAS_NastroTenditore00_1000,J.002,IfcFurniture,,Corretta,1
3,AR_ ARR_GAT_BancoGate:AR_ARR_GAT_BancoGate_1850x1185,J.002,IfcFurniture,,Corretta,1
3,AR_ARR_ARR_TornelliAccesso:AR_ARR_ARR_TornelliAccesso,J.002,IfcFurniture,,Corretta,1
3,AR_ARR_SED_SeduteAttesa_2+2:AR_ARR_SED_SeduteAttesa_2+2,J.002,IfcFurniture,,Corretta,1
5,AR_ARR_SED_SeduteAttesa_4+4:AR_ARR_SED_SeduteAttesa_4+4,J.002,IfcFurniture,,Corretta,1
14,AR_ARR_SED_SeduteAttesa_8+8:AR_ARR_SED_SeduteAttesa_8+8,J.002,IfcFurniture,,Corretta,1
5,AR_ARR_SED_SeduteAttesa_6+6:AR_ARR_SED_SeduteAttesa_6+6,J.002,IfcFurniture,,Corretta,1
2,AR_ARR_SED_SeduteAttesa_6:AR_ARR_SED_SeduteAttesa_6,J.002,IfcFurniture,,Corretta,1
2,AR_ARR_ARR_HandBagScreening:AR_ARR_ARR_HandBagScreening,J.002,IfcFurniture,,Corretta,1
19,AR_ARR_SED_SeduteScale:AR_ARR_SED_SeduteScale,J.002,IfcFurniture,,Corretta,1
22,AR_ARR_SED_SeduteAttesa_5+5:AR_ARR_SED_SeduteAttesa_5+5,J.002,IfcFurniture,,Corretta,1
2,AR_ARR_ARR_PortaMonitor_InfoVoli:AR_ARR_ARR_PortaMonitor_InfoVoli,J.002,IfcFurniture,,Corretta,1
2,AR_ARR_ARR_Tavolo:AR_ARR_ARR_Tavolo_2400x1200,J.002,IfcFurniture,,Corretta,1
8,AR_ARR_ARR_SediaTipoHal:AR_ARR_SED_SediaTipoHal,J.002,IfcFurniture,,Corretta,1
11,AR_ARR_SED_SgabelloTipoHal:AR_ARR_SED_SgabelloTipoHal_PlyStoolMedium,J.002,IfcFurniture,,Corretta,1
2,AR_ARR_ARR_TavoloRiunioni:AR_ARR_ARR_TavoloRiunioni_1200x1200,J.002,IfcFurniture,,Corretta,1
19,AR_ARR_ARR_DivanoRelax_Modulosingolo:AR_ARR_ARR_DivanoRelax_Modulosingolo,J.002,IfcFurniture,,Corretta,1
2,AR_ARR_ARR_PlayArea_01:AR_ARR_ARR_PlayArea,J.002,IfcFurniture,,Corretta,1
4,AR_ARR_ARR_PlayArea_02:AR_ARR_ARR_PlayArea,J.002,IfcFurniture,,Corretta,1
8,AR_ARR_ARR_Tavolino:AR_ARR_ARR_Tavolino_80,J.002,IfcFurniture,,Corretta,1
15,AR_ARR_ARR_PoltroncinaTipoRepos_:AR_ARR_ARR_PoltroncinaTipoRepos_LoungeChair,J.002,IfcFurniture,,Corretta,1
1,AR_ARR_BAR_BarrieraVetro:AR_ARR_BAR_BarrieraVetro,J.002,IfcSystemFurnitureElement,,Corretta,1
2,AR_ARR_BAR_BarrieraVetroSingolo:AR_ARR_BAR_BarrieraVetroSingolo,J.002,IfcSystemFurnitureElement,,Corretta,1
33,,,IfcDistributionPort,,Corretta,1
1,,,IfcOpeningElement,1427142,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1427088,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1427058,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1641146,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1641902,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1641517,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1624893,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1424406,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441307,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441263,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441267,Da compilare IDE_GEN_I_Wbs0,0
