GUID,ID,Categoria,Famiglia e Tipo,Stato
787ae83e-967b-4a11-af5e-2a61edbc3871-000d554b,873803,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d5d01,875777,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d621d,877085,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d6357,877399,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d6572,877938,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d65be,878014,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d65fd,878077,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d663f,878143,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d6703,878339,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d6747,878407,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
fed938a5-0ebb-448d-aa5d-a60fe747a853-000d7311,881425,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
fed938a5-0ebb-448d-aa5d-a60fe747a853-000d7319,881433,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
fed938a5-0ebb-448d-aa5d-a60fe747a853-000d7321,881441,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
fed938a5-0ebb-448d-aa5d-a60fe747a853-000d7329,881449,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
fed938a5-0ebb-448d-aa5d-a60fe747a853-000d7331,881457,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
fed938a5-0ebb-448d-aa5d-a60fe747a853-000d739f,881567,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1
fed938a5-0ebb-448d-aa5d-a60fe747a853-000d73f0,881648,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
fed938a5-0ebb-448d-aa5d-a60fe747a853-000d77bb,882619,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
fed938a5-0ebb-448d-aa5d-a60fe747a853-000d77c3,882627,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
fed938a5-0ebb-448d-aa5d-a60fe747a853-000d77cb,882635,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
fed938a5-0ebb-448d-aa5d-a60fe747a853-000d7910,882960,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
fed938a5-0ebb-448d-aa5d-a60fe747a853-000d7919,882969,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
fed938a5-0ebb-448d-aa5d-a60fe747a853-000d7922,882978,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
fed938a5-0ebb-448d-aa5d-a60fe747a853-000d7933,882995,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
fed938a5-0ebb-448d-aa5d-a60fe747a853-000d7a11,883217,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
fed938a5-0ebb-448d-aa5d-a60fe747a853-000d7a23,883235,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
e1fd1371-1feb-435b-9dfc-9fefd7d490a7-000e16d5,923349,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1
c27a0bfa-5259-43eb-b12a-be15d6a84f09-001098f9,1087737,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Piazza,1
d302d4e5-43d3-4796-b3dd-d641c4cf54ab-0010c12d,1098709,Controsoffitti,Controsoffitto composto: AR_CON_CSO_100_Applicato reticolare,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123710,1193744,Controsoffitti,Controsoffitto composto: AR_CON_CSO_100_Applicato reticolare,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123a58,1194584,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123a87,1194631,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123aa8,1194664,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123ac9,1194697,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123af9,1194745,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123b5e,1194846,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Uffici,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123b7c,1194876,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Uffici,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123b92,1194898,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123b9c,1194908,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Uffici,1
