Categoria,Id Elemento,Livello Base,Livello Superiore,Verifica,Stato
Muri,703677,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,704435,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,704527,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,704574,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,704647,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,704709,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,704977,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,705161,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,705273,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,705481,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,705574,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,705755,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,705821,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,706210,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,706422,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,706550,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,706973,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,707078,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,707192,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,707327,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,707458,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,707587,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,707713,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,707755,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,707783,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,707938,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,708071,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,708142,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
Muri,708441,ST_LIV_PE_P01_+5.08m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.63,Elemento vincolato correttamente tra livelli.,1
