Nome Elemento,Ifc Class,GUID IFC,GUID Nativo,Tag IFC,Element Id Nativo,Verifica,Stato
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iUg,2RDk4OAG92TPg1JBX77iUg,1903164,1903164,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iUe,2RDk4OAG92TPg1JBX77iUe,1903166,1903166,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iVK,2RDk4OAG92TPg1JBX77iVK,1903170,1903170,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iE3,2RDk4OAG92TPg1JBX77iE3,1904149,1904149,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,2RDk4OAG92TPg1JBX77i9_,2RDk4OAG92TPg1JBX77i9_,1904616,1904616,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,2RDk4OAG92TPg1JBX77jq0,2RDk4OAG92TPg1JBX77jq0,1904790,1904790,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,2RDk4OAG92TPg1JBX77jrs,2RDk4OAG92TPg1JBX77i9_,1904864,1904864,GUID difforme,0
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,2RDk4OAG92TPg1JBX77jnn,2RDk4OAG92TPg1JBX77i9_,1905127,1905127,GUID difforme,0
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,2RDk4OAG92TPg1JBX77j_R,2RDk4OAG92TPg1JBX77i9_,1905165,1905165,GUID difforme,0
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,2RDk4OAG92TPg1JBX77jaG,2RDk4OAG92TPg1JBX77jaG,1905798,1905798,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,2RDk4OAG92TPg1JBX77jXA,2RDk4OAG92TPg1JBX77jXA,1906140,1906140,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,2RDk4OAG92TPg1JBX77jXg,2RDk4OAG92TPg1JBX77jXg,1906172,1906172,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,2RDk4OAG92TPg1JBX77jlJ,2RDk4OAG92TPg1JBX77jlJ,1906245,1906245,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,2RDk4OAG92TPg1JBX77jl4,2RDk4OAG92TPg1JBX77jl4,1906258,1906258,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,2RDk4OAG92TPg1JBX77jfQ,2RDk4OAG92TPg1JBX77jfQ,1906636,1906636,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,2RDk4OAG92TPg1JBX77jfB,2RDk4OAG92TPg1JBX77jfB,1906653,1906653,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,3Ay4o58QfBQ86dHn42fgsF,3Ay4o58QfBQ86dHn42fgsF,1907436,1907436,Corretto,1
