Nome Materiale,ID Elemento,Verifica,Stato
Render Material 255-0-255,3389044,Codice non trovato nel database,0
Ortbeton - bewehrt Verputzt,3448107,Codice non trovato nel database,0
Kunststoff - grau 70-70-70,3448111,Codice non trovato nel database,0
Holz - generisch 140-100-70,3448112,Codice non trovato nel database,0
Glas - Isolierverglasung Bronze,3448115,Codice non trovato nel database,0
Analytisch - Geschoßdecke,3448116,Codice non trovato nel database,0
Analytisch - Fundamentplatte,3448117,Codice non trovato nel database,0
Analytisch - Wand,3448118,Codice non trovato nel database,0
Glas - Isolierverglasung klar,3448120,Codice non trovato nel database,0
Umgebung - Gras,3448121,Codice non trovato nel database,0
Körpermodell - Öffnung,3448122,Codice non trovato nel database,0
Körpermodell - Schattierung,3448123,Codice non trovato nel database,0
Körpermodell - Außenwand,3448124,Codice non trovato nel database,0
Körpermodell - Innenwand,3448125,Codice non trovato nel database,0
Körpermodell - Zone,3448126,Codice non trovato nel database,0
Körpermodell - Verglasung,3448127,Codice non trovato nel database,0
Körpermodell - Dachverglasung,3448128,Codice non trovato nel database,0
Körpermodell - Körpergeschoss,3448129,Codice non trovato nel database,0
Körpermodell,3448130,Codice non trovato nel database,0
Metall - Baustahl S355,3448133,Codice non trovato nel database,0
Metall - Betonstahl B500 A,3448135,Codice non trovato nel database,0
Metall - Betonstahl B500 B,3448136,Codice non trovato nel database,0
Lack - grau 80-80-80,3448139,Codice non trovato nel database,0
Standard,3448144,Codice non trovato nel database,0
Standardwand,3448145,Codice non trovato nel database,0
Systemzonen,3448146,Codice non trovato nel database,0
Unterirdische Wände,3448147,Codice non trovato nel database,0
Außenwände,3448186,Codice non trovato nel database,0
Bewegliche Dachfenster,3448187,Codice non trovato nel database,0
Bewegliche Fenster,3448188,Codice non trovato nel database,0
Decken,3448189,Codice non trovato nel database,0
Dächer,3448190,Codice non trovato nel database,0
Eingemessene Platten,3448191,Codice non trovato nel database,0
Berechnete Räume,3448192,Codice non trovato nel database,0
Unterirdische Platten,3448194,Codice non trovato nel database,0
Unterirdische Decken,3448195,Codice non trovato nel database,0
Schiebetüren,3448196,Codice non trovato nel database,0
Türen außer Schiebetüren,3448197,Codice non trovato nel database,0
Schattierungen,3448198,Codice non trovato nel database,0
Luftöffnungen,3448199,Codice non trovato nel database,0
Luftflächen,3448200,Codice non trovato nel database,0
Innenwände,3448201,Codice non trovato nel database,0
Geschossdecken innen,3448202,Codice non trovato nel database,0
Festverglaste Fenster,3448203,Codice non trovato nel database,0
Festverglaste Dachfenster,3448204,Codice non trovato nel database,0
Erhöhte Geschossdecken,3448205,Codice non trovato nel database,0
Glas,3448211,Codice non trovato nel database,0
Standard - Lichtquelle,3448212,Codice non trovato nel database,0
Geschossdecke (analytisch) - Oberfläche,3448213,Codice non trovato nel database,0
Wand (analytisch) - Oberfläche,3448214,Codice non trovato nel database,0
Platte (analytisch) - Oberfläche,3448215,Codice non trovato nel database,0
Site - Grass,3448529,Codice non trovato nel database,0
Default Mass,3448530,Codice non trovato nel database,0
Metal - Bronze,3448531,Codice non trovato nel database,0
Render Material 255-0-0,3530221,Codice non trovato nel database,0
Render Material 0-0-255,3530222,Codice non trovato nel database,0
Render Material 38-38-126,4069549,Codice non trovato nel database,0
Render Material 0-127-0,4299533,Codice non trovato nel database,0
Analytical Panels,4349619,Codice non trovato nel database,0
Electrical Analytical Loads,4349708,Codice non trovato nel database,0
Pannelli analitici,4358544,Codice non trovato nel database,0
Carichi analitici elettrici,4358546,Codice non trovato nel database,0
Color RAL 7035,4375186,Codice non trovato nel database,0
Color RGB 218-227-224,4375189,Codice non trovato nel database,0
Color RGB 173-196-207,4375201,Codice non trovato nel database,0
Color RGB 075-109-145,4375202,Codice non trovato nel database,0
Color RGB 050-050-050,4375203,Codice non trovato nel database,0
Color RGB 080-080-080,4375205,Codice non trovato nel database,0
Color RGB 128-134-182,4375207,Codice non trovato nel database,0
Color RGB 165-165-165,4375208,Codice non trovato nel database,0
Color RGB 082-082-082,4375210,Codice non trovato nel database,0
Color RGB 064-082-100,4375213,Codice non trovato nel database,0
Thermoplastic Resin,4382931,Codice non trovato nel database,0
"Steel, Non-Alloy",4382933,Codice non trovato nel database,0
