Categoria,Id Elemento,Famiglia,Stato
Elementi di dettaglio,598388,INC_ElmDet_BreakLine,1
Annotazioni generiche,599118,INC_Annotazione generica - Titolo,1
Elementi di dettaglio,599869,INC_ElmDet_BreakLine,1
Elementi di dettaglio,601765,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ8,1
Elementi di dettaglio,603462,INC_ElmDet_Distanziatori,1
Elementi di dettaglio,604604,INC_ElmDet_ProfilatoL_ConnessioneBullonata4-Prospetto,1
Elementi di dettaglio,604865,INC_ElmDet_ProfilatoL_ConnessioneBullonata4-Prospetto,1
Elementi di dettaglio,605432,INC_ElmDet_Hilti2Testa,1
Elementi di dettaglio,605673,INC_ElmDet_M12Corpo,1
Elementi di dettaglio,605859,INC_ElmDet_Tassello,1
Elementi di dettaglio,606114,INC_ElmDet_Vite,1
Elementi di dettaglio,606644,INC_ElmDet_Alveolare-27,5+50,1
Elementi di dettaglio,606801,INC_ElmDet_Mattone-Prospetto,1
Elementi di dettaglio,607096,INC_ElmDet_Cordolo,1
Elementi di dettaglio,607403,INC_ElmDet_ElementoCLS,1
Elementi di dettaglio,607671,INC_ElmDet_Mattone-Sezione,1
Elementi di dettaglio,607750,INC_ElmDet_MattonePieno,1
Elementi di dettaglio,607863,INC_ElmDet_Pignatta,1
Elementi di dettaglio,607986,INC_ElmDet_PignattaTravetto,1
Elementi di dettaglio,608137,INC_ElmDet_PredallesH-16+4Longitudinale,1
Elementi di dettaglio,608324,INC_ElmDet_PredallesH-16+4Trasversale,1
Elementi di dettaglio,608581,INC_ElmDet_PredallesH-20+4Longitudinale,1
Elementi di dettaglio,608768,INC_ElmDet_PredallesH-20+4Trasversale,1
Elementi di dettaglio,608918,INC_ElmDet_Tegole,1
Elementi di dettaglio,609041,INC_ElmDet_Travetto,1
Elementi di dettaglio,609264,INC_ElmDet_TipoHEA400,1
Elementi di dettaglio,609340,INC_ElmDet_TipoIPE400,1
Elementi di dettaglio,609462,INC_ElmDet_TipoL45x5,1
Elementi di dettaglio,609608,INC_ElmDet_TipoL50x5,1
Elementi di dettaglio,609753,INC_ElmDet_TipoUPN200,1
Cartigli,637722,GN_ANN_TBS_StartingView,1
Cartigli,669552,GN_ANN_TBS_Cartiglio,1
Pilastri strutturali,681944,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682354,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682409,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682419,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682520,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682521,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682522,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682523,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682534,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682535,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682536,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682537,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682550,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682551,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682552,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682553,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682564,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682565,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682566,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682567,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682578,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682579,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682580,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682581,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682594,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682595,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682596,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682597,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682608,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682609,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682610,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682611,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682650,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682651,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682652,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682653,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682668,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682669,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682670,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682671,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682684,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682685,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682686,INC_PilST_PS.AC_CircolareCavo,1
Pilastri strutturali,682687,INC_PilST_PS.AC_CircolareCavo,1
Telaio strutturale,686966,INC_TelST_TS.AC_HE,1
Telaio strutturale,687217,INC_TelST_TS.AC_HE,1
Telaio strutturale,687269,INC_TelST_TS.AC_HE,1
Telaio strutturale,687359,INC_TelST_TS.AC_HE,1
Telaio strutturale,687409,INC_TelST_TS.AC_HE,1
Telaio strutturale,687509,INC_TelST_TS.AC_HE,1
Telaio strutturale,687510,INC_TelST_TS.AC_HE,1
