Quantità,Nome della famiglia e del Tipo,IFC Element,ID,Valori Parametri,Verifica,Stato
1,,IfcPile,843747,3D,Corretta,1
1,,IfcPile,843748,3D,Corretta,1
1,,IfcPile,843749,3D,Corretta,1
1,,IfcPile,843750,3D,Corretta,1
1,,IfcPile,843751,3D,Corretta,1
1,,IfcPile,843752,3D,Corretta,1
1,,IfcPile,843753,3D,Corretta,1
1,,IfcPile,843754,3D,Corretta,1
1,,IfcPile,843755,3D,Corretta,1
1,,IfcPile,843756,3D,Corretta,1
1,,IfcPile,843757,3D,Corretta,1
1,,IfcPile,843758,3D,Corretta,1
1,,IfcPile,843759,3D,Corretta,1
1,,IfcPile,843760,3D,Corretta,1
1,,IfcPile,843761,3D,Corretta,1
1,,IfcPile,843762,3D,Corretta,1
1,,IfcPile,843763,3D,Corretta,1
1,,IfcPile,843764,3D,Corretta,1
1,,IfcPile,843765,3D,Corretta,1
1,,IfcPile,843766,3D,Corretta,1
1,,IfcPile,843767,3D,Corretta,1
1,,IfcPile,843768,3D,Corretta,1
1,,IfcPile,843769,3D,Corretta,1
1,,IfcPile,843770,3D,Corretta,1
1,,IfcPile,843771,3D,Corretta,1
1,,IfcPile,843772,3D,Corretta,1
1,,IfcPile,843773,3D,Corretta,1
1,,IfcPile,843774,3D,Corretta,1
1,,IfcPile,843775,3D,Corretta,1
1,,IfcPile,843776,3D,Corretta,1
1,,IfcPile,843777,3D,Corretta,1
1,,IfcPile,843778,3D,Corretta,1
1,,IfcPile,843779,3D,Corretta,1
1,,IfcPile,843780,3D,Corretta,1
1,,IfcPile,843781,3D,Corretta,1
1,,IfcPile,843782,3D,Corretta,1
1,,IfcPile,843783,3D,Corretta,1
1,,IfcPile,843784,3D,Corretta,1
1,,IfcPile,843785,3D,Corretta,1
1,,IfcPile,843786,3D,Corretta,1
1,,IfcPile,843787,3D,Corretta,1
1,,IfcPile,843794,3D,Corretta,1
1,,IfcPile,843795,3D,Corretta,1
1,,IfcPile,843796,3D,Corretta,1
1,,IfcPile,843797,3D,Corretta,1
1,,IfcPile,881062,3D,Corretta,1
1,,IfcPile,881063,3D,Corretta,1
1,,IfcPile,881064,3D,Corretta,1
1,,IfcPile,881065,3D,Corretta,1
1,,IfcPile,881066,3D,Corretta,1
1,,IfcPile,881067,3D,Corretta,1
1,,IfcPile,881068,3D,Corretta,1
1,,IfcPile,881069,3D,Corretta,1
1,,IfcPile,881070,3D,Corretta,1
1,,IfcPile,881071,3D,Corretta,1
1,,IfcPile,881072,3D,Corretta,1
1,,IfcPile,881073,3D,Corretta,1
